Rk,Player,link,Age,Pos,Date,RG/PL,Tm,,Opp,,Total,GS,MP,MPG,FG,FGA,FG%,FG%_,2P,2PA,2P%,2P%_,3P,3PA,3P%,3P%_,FT,FTA,FT%,FT%_,ORB,DRB,TRB,TRBG,AST,ASTG,STL,STLG,BLK,BLKG,TOV,TOVG,PF,PTS,PTSG,Off Production,Def Production,,GmSc_pt,GmSc,oTDR,dTDR,TDR,sum_oTDR,sum_TDR,sum_TDR,avgoTDR,avgdTDR,avgTDR
1,David Robinson,robinda01,,C,,,,,,,15,15,614,40.9,148,259,0.571,,148,259,0.571,,0,0,0.000,,111,162,0.685,,53,150,203,13.5,93,6.2,25,1.7,126,8.4,44,2.9,40,407,27.1,322.70,142.20,464.90,464.90,,52.56,23.16,75.72,794.58,354.24,1148.82,52.97,23.62,76.59
2,Oscar Robertson,roberos01,,G,,,,,,,42,42,1860.6,44.3,466,974.8953975,0.478,,466,974.8953975,0.478,,0,0,0.000,,376,475.871731,0.790,,130.8368461,445.1631539,576,13.7,587,14.0,0,0.0,0,0.0,0,0.0,76,1306,31.1,"1,272.51",103.15,"1,375.66","1,375.66",,68.39,5.54,73.94,2872.48,232.84,3105.33,68.39,5.54,73.94
3,Michael Jordan,jordami01,,G-F,,,,,,,30,30,1223,40.8,331,686,0.483,,314,631,0.498,,17,55,0.309,,240,277,0.866,,77,259,336,11.2,343,11.4,89,3.0,30,1.0,106,3.5,87,919,30.6,744.40,152.90,897.30,897.30,,60.87,12.50,73.37,1825.94,384.89,2210.82,60.86,12.83,73.69
4,James Harden,hardeja01,,G,,,,,,,32,32,1194,37.3,282,627,0.450,,175,336,0.521,,107,291,0.368,,307,354,0.867,,51,330,381,11.9,381,11.9,43,1.3,20,0.6,184,5.8,78,978,30.6,751.50,124.80,876.30,876.30,,62.94,10.45,73.39,2015.09,341.78,2356.88,62.97,10.68,73.65
5,Hakeem Olajuwon,olajuha01,,C,,,,,,,15,15,623,41.5,154,299,0.515,,153,298,0.513,,1,1,1.000,,84,117,0.718,,67,166,233,15.5,96,6.4,46,3.1,127,8.5,54,3.6,59,393,26.2,292.20,161.10,453.30,453.30,,46.90,25.86,72.76,711.00,387.39,1098.39,47.40,25.83,73.23
6,Russell Westbrook,westbru01,,G,,,,,,,85,85,3090,36.4,807,1865,0.433,,647,1394,0.464,,160,471,0.340,,642,770,0.834,,195,840,1035,12.2,1076,12.7,154,1.8,37,0.4,445,5.2,177,2416,28.4,"1,826.80",361.10,"2,187.90","2,187.90",,59.12,11.69,70.81,5022.84,1016.24,6039.08,59.09,11.96,71.05
7,Charles Barkley,barklch01,,F,,,,,,,24,24,1041,43.4,218,403,0.541,,208,352,0.591,,10,51,0.196,,166,228,0.728,,109,244,353,14.7,263,11.0,56,2.3,27,1.1,85,3.5,64,612,25.5,567.70,122.50,690.20,690.20,,54.53,11.77,66.30,1311.73,283.33,1595.06,54.66,11.81,66.46
8,Alvin Robertson,roberal01,,G,,,,,,,13,13,503,38.7,104,200,0.520,,101,195,0.518,,3,5,0.600,,42,57,0.737,,56,96,152,11.7,141,10.8,62,4.8,9,0.7,39,3.0,41,253,19.5,247.50,80.70,328.20,328.20,,49.20,16.04,65.25,647.00,213.22,860.22,49.77,16.40,66.17
9,Pau Gasol,gasolpa01,,F-C,,,,,,,10,10,373,37.3,69,137,0.504,,69,136,0.507,,0,1,0.000,,42,51,0.824,,25,115,140,14.0,113,11.3,10,1.0,20,2.0,19,1.9,14,180,18.0,185.70,52.90,238.60,238.60,,49.79,14.18,63.97,508.06,140.91,648.97,50.81,14.09,64.90
10,LeBron James,jamesle01,,F-G,,,,,,,73,73,3094,42.4,737,1543,0.478,,633,1202,0.527,,104,341,0.305,,498,691,0.721,,159,719,878,12.0,829,11.4,117,1.6,80,1.1,248,3.4,151,2076,28.4,"1,657.10",328.30,"1,985.40","1,985.40",,53.56,10.61,64.17,3942.07,786.54,4728.61,54.00,10.77,64.78
12,Magic Johnson,johnsma02,,G-F,,,,,,,108,107,4298,39.8,810,1632,0.496,,757,1440,0.526,,53,192,0.276,,684,803,0.852,,247,959,1206,11.2,1514,14.0,174,1.6,38,0.4,458,4.2,260,2357,21.8,"2,265.70",384.30,"2,650.00","2,650.00",,52.72,8.94,61.66,5760.18,975.32,6735.49,53.33,9.03,62.37
15,Larry Bird,birdla01,,F,,,,,,,53,53,2184,41.2,506,1063,0.476,,462,927,0.498,,44,136,0.324,,251,275,0.913,,116,575,691,13.0,598,11.3,102,1.9,44,0.8,182,3.4,130,1307,24.7,"1,073.50",253.30,"1,326.80","1,326.80",,49.15,11.60,60.75,2610.14,629.56,3239.70,49.25,11.88,61.13
16,Fat Lever,leverfa01,,G,,,,,,,46,46,1846,40.1,348,767,0.454,,335,729,0.460,,13,38,0.342,,170,214,0.794,,152,423,575,12.5,577,12.5,138,3.0,18,0.4,115,2.5,131,879,19.1,859.00,225.10,"1,084.10","1,084.10",,46.53,12.19,58.73,2154.11,585.00,2739.11,46.83,12.72,59.55
21,Kobe Bryant,bryanko01,,G-F,,,,,,,21,21,878,41.8,173,400,0.433,,143,310,0.461,,30,90,0.333,,138,176,0.784,,42,198,240,11.4,238,11.3,35,1.7,14,0.7,83,4.0,51,514,24.5,401.00,83.80,484.80,484.80,,45.67,9.54,55.22,970.29,204.61,1174.89,46.20,9.74,55.95
